,Label,P,R,F
0,First Party Collection,0.631578947368,0.846153846154,0.723287671233
1,Data Retention,0.0786516853933,1.0,0.145833333333
2,Cookies and Similar Technologies,0.154385964912,0.977777777778,0.266666666667
3,First Party Use,0.38080495356,0.872340425532,0.530172413793
4,Links,0.117117117117,0.928571428571,0.208
5,User Control,0.10775862069,0.892857142857,0.192307692308
6,Introductory/Generic,0.215189873418,0.871794871795,0.345177664975
7,Data Security,0.387096774194,0.857142857143,0.533333333333
8,Third Party Sharing and Collection,0.422131147541,0.887931034483,0.572222222222
9,User Right,0.759259259259,0.77358490566,0.766355140187
10,Internal and Specific Audiences,0.172043010753,0.8,0.283185840708
11,Data Transfer,0.218390804598,1.0,0.358490566038
12,Policy Change,0.5,1.0,0.666666666667
13,Legal Basis,0.0649350649351,0.714285714286,0.119047619048
14,Privacy Contact Information,0.341463414634,0.736842105263,0.466666666667
