label,count,mean,std,min,25%,50%,75%,max
Cookies and Similar Technologies,377.0,366.7029177718833,309.93852653522396,44.0,158.0,300.0,467.0,2705.0
Data Retention,178.0,332.1741573033708,248.91742556942603,36.0,158.5,278.5,422.5,1612.0
Data Security,267.0,380.6928838951311,242.1391107073227,36.0,205.0,325.0,499.0,1511.0
Data Transfer,146.0,392.458904109589,215.63702345767834,33.0,228.0,370.0,497.5,1046.0
First Party Collection,1638.0,258.7771672771673,250.39640370750058,32.0,73.0,170.5,369.0,2645.0
First Party Use,1527.0,199.2527832351015,193.35436001245608,27.0,76.0,133.0,263.0,2785.0
Internal and Specific Audiences,218.0,416.5642201834862,214.7173643374159,53.0,245.0,398.0,545.0,1130.0
Introductory/Generic,476.0,334.61764705882354,201.69857871672465,35.0,187.0,288.0,448.75,1222.0
Legal Basis,204.0,248.4558823529412,233.21829139898094,29.0,77.5,173.5,336.75,1390.0
Links,139.0,285.62589928057554,246.84849174157657,15.0,70.0,245.0,416.0,1114.0
Other,5193.0,91.55440015405354,346.8890553675806,1.0,13.0,28.0,53.0,13574.0
Policy Change,223.0,284.4843049327354,206.13489083855674,33.0,101.0,258.0,407.0,896.0
Privacy Contact Information,303.0,160.63366336633663,112.0291225239623,38.0,75.0,130.0,214.5,795.0
Third Party Sharing and Collection,1340.0,302.50373134328356,254.91894622046698,47.0,115.0,228.5,399.25,1909.0
User Control,217.0,307.7649769585253,245.9019961909028,20.0,135.0,264.0,405.0,1774.0
User Right,810.0,231.7395061728395,177.03707556847357,26.0,99.25,183.5,319.0,1029.0
